date,h_team,h_obp,h_slg,h_k_rate,h_bb_rate,v_team,v_obp,v_slg,v_k_rate,v_bb_rate,home_win
20160612,TOR,0.34,0.433,0.158,0.132,BAL,0.328,0.532,0.219,0.084,1
20160612,ARI,0.315,0.379,0.31,0.089,MIA,0.307,0.379,0.193,0.06,1
20160612,ATL,0.302,0.345,0.21,0.072,CHN,0.313,0.436,0.245,0.071,0
20160612,CIN,0.344,0.521,0.259,0.078,OAK,0.316,0.387,0.219,0.085,0
20160612,COL,0.323,0.44,0.239,0.088,SDN,0.339,0.475,0.212,0.058,1
20160612,MIL,0.327,0.408,0.222,0.103,NYN,0.337,0.39,0.225,0.115,1
20160612,PIT,0.334,0.372,0.214,0.111,SLN,0.346,0.447,0.185,0.092,0
20160612,SFN,0.278,0.319,0.203,0.096,LAN,0.286,0.363,0.207,0.105,1
20160612,WAS,0.348,0.54,0.176,0.072,PHI,0.273,0.382,0.251,0.066,1
20160613,ANA,0.316,0.418,0.175,0.072,MIN,0.347,0.44,0.213,0.105,0
20160613,CHA,0.289,0.348,0.25,0.082,DET,0.366,0.445,0.206,0.09,1
20160613,KCA,0.294,0.359,0.246,0.066,CLE,0.289,0.429,0.231,0.067,1
20160613,OAK,0.324,0.411,0.21,0.078,TEX,0.35,0.478,0.195,0.083,1
20160613,TOR,0.346,0.467,0.174,0.137,PHI,0.27,0.398,0.244,0.058,0
20160613,ARI,0.325,0.396,0.286,0.089,LAN,0.293,0.365,0.192,0.107,1
20160613,ATL,0.295,0.327,0.206,0.064,CIN,0.337,0.505,0.259,0.071,0
20160613,SDN,0.321,0.414,0.204,0.062,MIA,0.295,0.365,0.187,0.056,0
20160613,SFN,0.278,0.324,0.212,0.097,MIL,0.329,0.415,0.226,0.097,1
20160613,WAS,0.355,0.52,0.173,0.08,CHN,0.344,0.47,0.229,0.085,1
20160614,ANA,0.281,0.404,0.188,0.047,MIN,0.331,0.425,0.215,0.105,1
20160614,BOS,0.349,0.449,0.157,0.096,BAL,0.333,0.518,0.245,0.09,0
20160614,CHA,0.31,0.381,0.234,0.085,DET,0.375,0.445,0.181,0.105,0
20160614,KCA,0.292,0.356,0.26,0.064,CLE,0.283,0.402,0.227,0.069,1
20160614,OAK,0.336,0.417,0.188,0.08,TEX,0.331,0.467,0.199,0.071,0
20160614,TBA,0.33,0.471,0.217,0.099,SEA,0.299,0.414,0.185,0.062,1
20160614,TOR,0.343,0.447,0.174,0.138,PHI,0.285,0.422,0.234,0.069,1
20160614,ARI,0.324,0.412,0.288,0.09,LAN,0.301,0.377,0.19,0.113,0
20160614,ATL,0.311,0.364,0.179,0.066,CIN,0.337,0.46,0.255,0.087,0
20160614,COL,0.324,0.425,0.253,0.093,NYA,0.346,0.475,0.151,0.07,1
20160614,NYN,0.322,0.405,0.23,0.092,PIT,0.33,0.376,0.21,0.1,0
20160614,SDN,0.291,0.421,0.212,0.062,MIA,0.326,0.403,0.193,0.056,0
20160614,SFN,0.299,0.355,0.214,0.098,MIL,0.331,0.399,0.223,0.102,1
20160614,SLN,0.34,0.443,0.188,0.083,HOU,0.343,0.385,0.232,0.122,0
20160614,WAS,0.362,0.499,0.164,0.095,CHN,0.321,0.428,0.247,0.079,0
20160615,ANA,0.291,0.41,0.189,0.053,MIN,0.326,0.425,0.205,0.098,1
20160615,BOS,0.332,0.405,0.173,0.093,BAL,0.317,0.506,0.26,0.088,1
20160615,CHA,0.312,0.408,0.231,0.077,DET,0.379,0.447,0.184,0.11,1
20160615,KCA,0.294,0.382,0.252,0.048,CLE,0.285,0.371,0.224,0.08,1
20160615,OAK,0.329,0.407,0.179,0.072,TEX,0.323,0.464,0.207,0.065,0
20160615,TBA,0.337,0.5,0.229,0.107,SEA,0.312,0.43,0.197,0.077,1
20160615,ARI,0.328,0.418,0.283,0.087,LAN,0.309,0.382,0.189,0.113,0
20160615,ATL,0.316,0.363,0.176,0.071,CIN,0.321,0.415,0.257,0.095,1
20160615,COL,0.357,0.499,0.24,0.101,NYA,0.358,0.462,0.147,0.071,1
20160615,NYN,0.31,0.363,0.22,0.093,PIT,0.332,0.369,0.214,0.102,1
20160615,PHI,0.276,0.415,0.234,0.06,TOR,0.357,0.508,0.17,0.132,0
20160615,SDN,0.294,0.424,0.232,0.059,MIA,0.331,0.398,0.176,0.065,1
20160615,SFN,0.307,0.338,0.228,0.095,MIL,0.325,0.398,0.229,0.093,1
20160615,SLN,0.343,0.455,0.185,0.085,HOU,0.323,0.363,0.226,0.113,0
20160615,WAS,0.359,0.484,0.165,0.094,CHN,0.311,0.421,0.245,0.071,1
20160616,BOS,0.34,0.411,0.169,0.098,BAL,0.317,0.488,0.249,0.083,0
20160616,KCA,0.306,0.401,0.259,0.055,DET,0.371,0.438,0.202,0.108,0
20160616,MIN,0.316,0.416,0.202,0.101,NYA,0.341,0.434,0.155,0.072,0
20160616,OAK,0.325,0.399,0.172,0.074,TEX,0.335,0.511,0.201,0.069,0
20160616,TBA,0.354,0.482,0.239,0.134,SEA,0.307,0.408,0.227,0.085,0
20160616,ATL,0.339,0.4,0.18,0.08,CIN,0.327,0.384,0.244,0.104,1
20160616,LAN,0.301,0.388,0.209,0.101,MIL,0.314,0.368,0.239,0.086,0
20160616,NYN,0.305,0.391,0.225,0.079,PIT,0.301,0.323,0.24,0.084,1
20160616,PHI,0.273,0.4,0.243,0.06,TOR,0.369,0.509,0.17,0.13,0
20160616,SDN,0.297,0.426,0.233,0.058,WAS,0.365,0.473,0.176,0.093,0
20160617,BAL,0.315,0.512,0.242,0.072,TOR,0.388,0.573,0.176,0.123,0
20160617,BOS,0.328,0.412,0.169,0.087,SEA,0.333,0.433,0.222,0.092,0
20160617,CLE,0.275,0.327,0.226,0.08,CHA,0.319,0.425,0.217,0.082,1
20160617,HOU,0.325,0.355,0.218,0.114,CIN,0.316,0.37,0.235,0.101,0
20160617,KCA,0.322,0.431,0.249,0.051,DET,0.365,0.475,0.198,0.103,1
20160617,MIN,0.305,0.386,0.203,0.09,NYA,0.339,0.438,0.157,0.073,0
20160617,OAK,0.306,0.375,0.163,0.071,ANA,0.31,0.402,0.18,0.068,1
20160617,TBA,0.35,0.445,0.248,0.129,SFN,0.324,0.366,0.211,0.093,0
20160617,CHN,0.313,0.426,0.252,0.067,PIT,0.283,0.347,0.246,0.061,1
20160617,LAN,0.283,0.341,0.21,0.091,MIL,0.311,0.397,0.234,0.086,1
20160617,MIA,0.332,0.389,0.179,0.063,COL,0.365,0.515,0.239,0.096,1
20160617,NYN,0.326,0.441,0.198,0.082,ATL,0.338,0.392,0.178,0.085,0
20160617,PHI,0.25,0.351,0.258,0.058,ARI,0.326,0.416,0.301,0.082,0
20160617,SDN,0.31,0.425,0.218,0.065,WAS,0.363,0.473,0.172,0.103,0
20160617,SLN,0.346,0.465,0.189,0.082,TEX,0.335,0.503,0.208,0.077,0
20160618,BAL,0.309,0.487,0.237,0.071,TOR,0.397,0.631,0.169,0.109,1
20160618,BOS,0.317,0.412,0.166,0.077,SEA,0.346,0.465,0.202,0.096,1
20160618,CLE,0.285,0.337,0.205,0.08,CHA,0.331,0.421,0.222,0.091,1
20160618,HOU,0.319,0.33,0.227,0.115,CIN,0.312,0.341,0.231,0.102,1
20160618,KCA,0.349,0.471,0.242,0.061,DET,0.35,0.455,0.199,0.095,1
20160618,MIN,0.307,0.369,0.193,0.084,NYA,0.356,0.434,0.141,0.086,0
20160618,OAK,0.308,0.394,0.156,0.066,ANA,0.306,0.411,0.171,0.065,0
20160618,TBA,0.33,0.402,0.239,0.119,SFN,0.328,0.37,0.228,0.095,0
20160618,CHN,0.343,0.443,0.246,0.09,PIT,0.267,0.313,0.254,0.059,1
20160618,LAN,0.296,0.375,0.21,0.089,MIL,0.32,0.396,0.248,0.084,1
20160618,MIA,0.345,0.404,0.183,0.072,COL,0.357,0.471,0.237,0.108,1
20160618,NYN,0.332,0.437,0.209,0.085,ATL,0.347,0.404,0.166,0.092,0
20160618,PHI,0.247,0.336,0.257,0.061,ARI,0.326,0.478,0.29,0.068,0
20160618,SDN,0.312,0.414,0.224,0.075,WAS,0.354,0.47,0.172,0.095,1
20160618,SLN,0.333,0.405,0.198,0.09,TEX,0.327,0.481,0.203,0.08,0
20160619,BAL,0.307,0.463,0.235,0.075,TOR,0.399,0.608,0.178,0.116,1
20160619,BOS,0.328,0.433,0.162,0.072,SEA,0.331,0.443,0.203,0.084,1
20160619,CLE,0.317,0.384,0.208,0.096,CHA,0.316,0.421,0.237,0.074,1
20160619,HOU,0.33,0.353,0.231,0.118,CIN,0.295,0.318,0.239,0.099,1
20160619,KCA,0.374,0.508,0.225,0.062,DET,0.354,0.468,0.187,0.088,1
20160619,MIN,0.294,0.352,0.221,0.082,NYA,0.358,0.43,0.15,0.088,1
20160619,OAK,0.309,0.386,0.145,0.063,ANA,0.321,0.438,0.16,0.064,0
20160619,TBA,0.321,0.411,0.223,0.113,SFN,0.339,0.396,0.216,0.092,0
20160619,CHN,0.349,0.45,0.243,0.114,PIT,0.268,0.317,0.253,0.065,1
20160619,LAN,0.311,0.409,0.216,0.084,MIL,0.323,0.408,0.248,0.085,1
20160619,MIA,0.372,0.445,0.168,0.082,COL,0.353,0.458,0.232,0.105,1
20160619,NYN,0.339,0.465,0.188,0.084,ATL,0.351,0.419,0.177,0.098,0
20160619,PHI,0.232,0.33,0.257,0.05,ARI,0.326,0.49,0.279,0.057,0
20160619,SDN,0.311,0.42,0.236,0.076,WAS,0.338,0.412,0.189,0.092,1
20160619,SLN,0.33,0.394,0.198,0.093,TEX,0.328,0.477,0.205,0.082,0
20160620,BOS,0.342,0.452,0.163,0.075,CHA,0.313,0.424,0.239,0.082,0
20160620,CLE,0.344,0.422,0.193,0.108,TBA,0.327,0.416,0.242,0.109,1
20160620,DET,0.333,0.447,0.201,0.084,SEA,0.322,0.428,0.212,0.077,1
20160620,HOU,0.332,0.373,0.22,0.114,ANA,0.311,0.399,0.163,0.068,1
20160620,TEX,0.328,0.476,0.2,0.081,BAL,0.332,0.513,0.228,0.067,1
20160620,CHN,0.365,0.509,0.24,0.112,SLN,0.337,0.405,0.19,0.1,0
20160620,LAN,0.322,0.433,0.216,0.084,WAS,0.344,0.438,0.198,0.094,1
20160620,MIA,0.365,0.445,0.177,0.084,COL,0.346,0.43,0.221,0.115,0
20160620,PHI,0.236,0.329,0.246,0.055,ARI,0.329,0.481,0.282,0.063,0
20160620,PIT,0.265,0.326,0.272,0.052,SFN,0.349,0.411,0.211,0.097,1
20160621,BAL,0.339,0.496,0.233,0.065,SDN,0.332,0.42,0.225,0.08,0
20160621,BOS,0.345,0.441,0.161,0.082,CHA,0.317,0.419,0.225,0.085,0
20160621,CLE,0.34,0.456,0.194,0.089,TBA,0.31,0.398,0.247,0.098,1
20160621,DET,0.346,0.485,0.198,0.085,SEA,0.33,0.427,0.209,0.079,1
20160621,HOU,0.353,0.407,0.202,0.115,ANA,0.312,0.405,0.157,0.07,1
20160621,MIN,0.299,0.387,0.205,0.076,PHI,0.232,0.317,0.231,0.05,1
20160621,NYA,0.335,0.38,0.156,0.085,COL,0.362,0.482,0.215,0.12,0
20160621,OAK,0.312,0.386,0.135,0.066,MIL,0.321,0.403,0.264,0.093,1
20160621,TEX,0.33,0.447,0.209,0.081,CIN,0.296,0.32,0.228,0.099,0
20160621,TOR,0.39,0.616,0.184,0.109,ARI,0.312,0.486,0.286,0.049,0
20160621,CHN,0.36,0.484,0.244,0.113,SLN,0.324,0.373,0.207,0.096,0
20160621,LAN,0.331,0.457,0.217,0.093,WAS,0.323,0.388,0.219,0.082,1
20160621,MIA,0.353,0.443,0.181,0.093,ATL,0.346,0.415,0.178,0.092,0
20160621,NYN,0.305,0.423,0.195,0.067,KCA,0.371,0.499,0.209,0.068,1
20160621,PIT,0.263,0.323,0.267,0.056,SFN,0.349,0.399,0.201,0.091,0
20160622,BAL,0.35,0.512,0.24,0.064,SDN,0.35,0.428,0.207,0.084,1
20160622,BOS,0.332,0.404,0.173,0.086,CHA,0.303,0.388,0.242,0.089,0
20160622,CLE,0.348,0.473,0.189,0.095,TBA,0.292,0.371,0.242,0.091,1
20160622,DET,0.355,0.477,0.195,0.092,SEA,0.329,0.418,0.209,0.075,1
20160622,HOU,0.358,0.423,0.206,0.117,ANA,0.318,0.421,0.155,0.07,1
20160622,MIN,0.32,0.429,0.195,0.087,PHI,0.241,0.364,0.217,0.046,1
20160622,NYA,0.322,0.372,0.174,0.075,COL,0.355,0.485,0.236,0.114,1
20160622,OAK,0.317,0.398,0.134,0.063,MIL,0.329,0.423,0.251,0.081,0
20160622,TEX,0.32,0.441,0.203,0.074,CIN,0.306,0.353,0.223,0.097,1
20160622,TOR,0.388,0.601,0.178,0.11,ARI,0.288,0.469,0.303,0.044,1
20160622,CHN,0.377,0.493,0.232,0.126,SLN,0.323,0.385,0.206,0.094,0
20160622,LAN,0.319,0.454,0.22,0.082,WAS,0.318,0.399,0.215,0.087,1
20160622,MIA,0.352,0.423,0.196,0.096,ATL,0.331,0.387,0.189,0.092,1
20160622,NYN,0.29,0.411,0.194,0.066,KCA,0.362,0.463,0.211,0.069,1
20160622,PIT,0.267,0.343,0.275,0.051,SFN,0.384,0.457,0.172,0.097,0
20160623,ANA,0.316,0.415,0.168,0.072,OAK,0.312,0.399,0.139,0.06,0
20160623,BOS,0.339,0.393,0.178,0.1,CHA,0.311,0.428,0.237,0.084,1
20160623,DET,0.366,0.497,0.188,0.096,SEA,0.328,0.408,0.228,0.076,1
20160623,MIN,0.32,0.442,0.193,0.072,PHI,0.251,0.365,0.203,0.054,0
20160623,ATL,0.334,0.388,0.193,0.09,NYN,0.282,0.416,0.222,0.06,1
20160623,CIN,0.304,0.356,0.224,0.093,SDN,0.343,0.411,0.223,0.088,0
20160623,COL,0.353,0.494,0.239,0.112,ARI,0.296,0.447,0.297,0.054,0
20160623,MIA,0.349,0.419,0.206,0.09,CHN,0.364,0.447,0.226,0.132,1
20160623,PIT,0.272,0.372,0.285,0.047,SFN,0.388,0.47,0.183,0.091,0
20160624,ANA,0.315,0.426,0.15,0.059,OAK,0.302,0.374,0.135,0.063,0
20160624,BAL,0.351,0.503,0.232,0.062,TBA,0.277,0.342,0.261,0.087,1
20160624,CHA,0.333,0.448,0.213,0.086,TOR,0.367,0.574,0.204,0.101,1
20160624,DET,0.358,0.492,0.204,0.092,CLE,0.355,0.498,0.177,0.095,0
20160624,KCA,0.361,0.451,0.202,0.066,HOU,0.35,0.434,0.205,0.109,0
20160624,NYA,0.332,0.404,0.182,0.081,MIN,0.317,0.445,0.193,0.063,1
20160624,SEA,0.319,0.429,0.233,0.074,SLN,0.317,0.387,0.209,0.088,1
20160624,TEX,0.314,0.449,0.189,0.065,BOS,0.356,0.402,0.174,0.108,0
20160624,ATL,0.349,0.414,0.184,0.091,NYN,0.287,0.396,0.2,0.068,0
20160624,CIN,0.305,0.364,0.221,0.1,SDN,0.349,0.43,0.219,0.095,0
20160624,COL,0.355,0.48,0.235,0.111,ARI,0.303,0.452,0.299,0.057,0
20160624,MIA,0.36,0.447,0.208,0.094,CHN,0.339,0.418,0.236,0.123,0
20160624,MIL,0.323,0.401,0.256,0.064,WAS,0.32,0.408,0.217,0.082,1
20160624,PIT,0.275,0.38,0.291,0.053,LAN,0.326,0.462,0.227,0.082,1
20160624,SFN,0.391,0.476,0.174,0.086,PHI,0.274,0.394,0.183,0.061,1
20160625,ANA,0.321,0.422,0.146,0.061,OAK,0.286,0.371,0.142,0.053,0
20160625,BAL,0.337,0.472,0.218,0.053,TBA,0.279,0.353,0.246,0.087,1
20160625,BAL,0.361,0.475,0.205,0.068,TBA,0.261,0.306,0.241,0.083,1
20160625,CHA,0.324,0.439,0.211,0.075,TOR,0.353,0.527,0.211,0.097,0
20160625,DET,0.339,0.452,0.2,0.083,CLE,0.356,0.502,0.173,0.091,0
20160625,KCA,0.353,0.462,0.182,0.064,HOU,0.367,0.451,0.196,0.119,0
20160625,NYA,0.336,0.412,0.179,0.08,MIN,0.31,0.424,0.213,0.059,1
20160625,SEA,0.307,0.414,0.222,0.068,SLN,0.312,0.373,0.194,0.092,1
20160625,TEX,0.329,0.454,0.203,0.064,BOS,0.367,0.418,0.157,0.114,1
20160625,ATL,0.345,0.411,0.189,0.082,NYN,0.304,0.41,0.187,0.081,0
20160625,CIN,0.292,0.347,0.23,0.092,SDN,0.366,0.444,0.219,0.098,0
20160625,COL,0.376,0.496,0.212,0.118,ARI,0.327,0.482,0.285,0.069,1
20160625,MIA,0.326,0.399,0.207,0.095,CHN,0.363,0.445,0.216,0.13,1
20160625,MIL,0.32,0.401,0.277,0.07,WAS,0.312,0.4,0.246,0.069,1
20160625,PIT,0.289,0.4,0.281,0.055,LAN,0.333,0.477,0.223,0.071,1
20160625,SFN,0.371,0.45,0.16,0.075,PHI,0.292,0.407,0.179,0.073,0
20160626,ANA,0.315,0.419,0.151,0.057,OAK,0.3,0.38,0.135,0.069,1
20160626,BAL,0.373,0.523,0.198,0.068,TBA,0.266,0.335,0.213,0.065,1
20160626,CHA,0.325,0.477,0.226,0.074,TOR,0.362,0.556,0.199,0.095,1
20160626,DET,0.328,0.437,0.198,0.081,CLE,0.355,0.539,0.176,0.082,0
20160626,KCA,0.365,0.47,0.165,0.07,HOU,0.395,0.522,0.178,0.124,1
20160626,NYA,0.344,0.42,0.168,0.075,MIN,0.295,0.409,0.234,0.057,0
20160626,SEA,0.319,0.42,0.202,0.067,SLN,0.297,0.348,0.195,0.092,0
20160626,TEX,0.328,0.435,0.206,0.067,BOS,0.355,0.407,0.171,0.115,1
20160626,ATL,0.342,0.413,0.192,0.076,NYN,0.31,0.419,0.188,0.079,1
20160626,CIN,0.293,0.346,0.232,0.088,SDN,0.371,0.441,0.212,0.11,1
20160626,COL,0.374,0.494,0.21,0.116,ARI,0.346,0.494,0.269,0.09,1
20160626,MIA,0.332,0.419,0.21,0.09,CHN,0.371,0.466,0.204,0.134,1
20160626,MIL,0.315,0.405,0.288,0.058,WAS,0.322,0.419,0.22,0.073,0
20160626,PIT,0.301,0.427,0.262,0.066,LAN,0.324,0.448,0.211,0.061,1
20160626,SFN,0.352,0.434,0.149,0.071,PHI,0.292,0.409,0.189,0.071,1
20160627,ANA,0.309,0.43,0.149,0.047,HOU,0.387,0.509,0.2,0.127,0
20160627,KCA,0.371,0.486,0.166,0.069,SLN,0.322,0.429,0.195,0.094,1
20160627,NYA,0.311,0.396,0.184,0.07,TEX,0.344,0.411,0.204,0.083,0
20160627,TBA,0.267,0.362,0.203,0.062,BOS,0.365,0.412,0.161,0.118,1
20160627,ARI,0.368,0.507,0.252,0.092,PHI,0.31,0.435,0.18,0.07,0
20160627,ATL,0.326,0.412,0.172,0.066,CLE,0.353,0.57,0.185,0.071,0
20160627,CIN,0.29,0.361,0.222,0.079,CHN,0.364,0.437,0.221,0.138,0
20160627,COL,0.377,0.507,0.199,0.127,TOR,0.345,0.522,0.209,0.09,1
20160627,PIT,0.308,0.406,0.258,0.075,LAN,0.319,0.445,0.203,0.064,0
20160627,SFN,0.351,0.444,0.16,0.063,OAK,0.309,0.387,0.139,0.071,0
20160627,WAS,0.32,0.424,0.213,0.081,NYN,0.28,0.369,0.202,0.076,1
20160628,ANA,0.32,0.437,0.154,0.052,HOU,0.388,0.506,0.201,0.125,0
20160628,CHA,0.318,0.47,0.245,0.072,MIN,0.304,0.463,0.228,0.06,0
20160628,DET,0.313,0.399,0.194,0.078,MIA,0.335,0.428,0.21,0.09,1
20160628,KCA,0.37,0.48,0.165,0.062,SLN,0.311,0.438,0.204,0.085,0
20160628,NYA,0.335,0.424,0.173,0.079,TEX,0.347,0.419,0.202,0.082,0
20160628,SEA,0.312,0.43,0.193,0.062,PIT,0.314,0.416,0.247,0.08,1
20160628,TBA,0.303,0.421,0.215,0.068,BOS,0.372,0.41,0.167,0.125,0
20160628,ARI,0.356,0.443,0.253,0.097,PHI,0.327,0.451,0.175,0.07,0
20160628,ATL,0.323,0.408,0.179,0.066,CLE,0.368,0.595,0.178,0.068,0
20160628,CIN,0.293,0.377,0.215,0.084,CHN,0.355,0.486,0.223,0.114,0
20160628,COL,0.389,0.539,0.204,0.116,TOR,0.329,0.519,0.217,0.081,0
20160628,MIL,0.325,0.43,0.284,0.056,LAN,0.325,0.44,0.19,0.077,0
20160628,SDN,0.355,0.405,0.216,0.109,BAL,0.388,0.555,0.195,0.068,0
20160628,SFN,0.351,0.428,0.143,0.061,OAK,0.339,0.424,0.132,0.082,0
20160628,WAS,0.338,0.423,0.22,0.078,NYN,0.281,0.339,0.209,0.072,1
20160629,ANA,0.31,0.405,0.156,0.05,HOU,0.398,0.539,0.204,0.12,0
20160629,CHA,0.307,0.451,0.24,0.062,MIN,0.303,0.479,0.226,0.06,1
20160629,DET,0.318,0.417,0.21,0.086,MIA,0.341,0.438,0.195,0.083,1
20160629,NYA,0.332,0.415,0.17,0.076,TEX,0.355,0.43,0.189,0.079,1
20160629,OAK,0.35,0.434,0.128,0.095,SFN,0.367,0.448,0.139,0.069,1
20160629,SEA,0.317,0.425,0.197,0.06,PIT,0.306,0.408,0.239,0.075,0
20160629,TBA,0.296,0.391,0.231,0.063,BOS,0.376,0.401,0.178,0.137,1
20160629,ARI,0.362,0.443,0.254,0.104,PHI,0.347,0.469,0.178,0.076,0
20160629,ATL,0.306,0.402,0.188,0.057,CLE,0.376,0.581,0.186,0.077,0
20160629,CIN,0.274,0.35,0.223,0.074,CHN,0.337,0.45,0.227,0.105,0
20160629,COL,0.393,0.553,0.202,0.11,TOR,0.343,0.493,0.195,0.095,0
20160629,MIL,0.33,0.435,0.285,0.072,LAN,0.334,0.438,0.185,0.079,1
20160629,SDN,0.357,0.415,0.218,0.114,BAL,0.406,0.595,0.182,0.068,0
20160629,SLN,0.326,0.465,0.198,0.088,KCA,0.368,0.465,0.157,0.065,0
20160629,WAS,0.344,0.419,0.221,0.094,NYN,0.275,0.331,0.201,0.07,1
20160630,CHA,0.32,0.489,0.23,0.062,MIN,0.318,0.494,0.229,0.069,1
20160630,NYA,0.326,0.424,0.173,0.079,TEX,0.353,0.448,0.194,0.081,1
20160630,OAK,0.354,0.467,0.123,0.095,SFN,0.365,0.439,0.135,0.07,0
20160630,SEA,0.31,0.41,0.195,0.061,BAL,0.41,0.591,0.191,0.076,1
20160630,TBA,0.3,0.419,0.235,0.064,DET,0.329,0.446,0.204,0.087,0
20160630,TOR,0.343,0.452,0.197,0.1,CLE,0.35,0.546,0.173,0.058,0
20160630,ATL,0.3,0.384,0.19,0.049,MIA,0.324,0.401,0.214,0.072,1
20160630,MIL,0.34,0.435,0.287,0.075,LAN,0.304,0.377,0.188,0.076,0
20160630,NYN,0.268,0.309,0.223,0.068,CHN,0.34,0.433,0.229,0.113,1
20160630,SLN,0.32,0.457,0.194,0.087,KCA,0.356,0.434,0.156,0.065,0
20160630,WAS,0.346,0.441,0.202,0.105,CIN,0.289,0.347,0.212,0.088,1
20160701,BOS,0.353,0.366,0.19,0.128,ANA,0.32,0.423,0.147,0.054,1
20160701,HOU,0.399,0.545,0.189,0.124,CHA,0.335,0.504,0.223,0.057,1
20160701,MIN,0.321,0.481,0.222,0.075,TEX,0.343,0.424,0.221,0.085,0
20160701,OAK,0.364,0.503,0.143,0.093,PIT,0.307,0.399,0.226,0.08,0
20160701,SEA,0.326,0.42,0.184,0.075,BAL,0.388,0.551,0.202,0.075,1
20160701,TBA,0.321,0.432,0.225,0.068,DET,0.355,0.471,0.194,0.096,0
20160701,TOR,0.329,0.44,0.221,0.094,CLE,0.338,0.557,0.164,0.046,0
20160701,ARI,0.365,0.448,0.246,0.096,SFN,0.396,0.481,0.139,0.093,0
20160701,ATL,0.308,0.397,0.175,0.058,MIA,0.336,0.398,0.209,0.09,0
20160701,LAN,0.318,0.41,0.193,0.082,COL,0.4,0.568,0.191,0.1,1
20160701,NYN,0.286,0.333,0.219,0.075,CHN,0.344,0.452,0.236,0.124,1
20160701,PHI,0.367,0.504,0.161,0.073,KCA,0.323,0.404,0.168,0.057,1
20160701,SDN,0.356,0.417,0.219,0.115,NYA,0.32,0.404,0.178,0.088,1
20160701,SLN,0.309,0.441,0.22,0.092,MIL,0.329,0.415,0.269,0.077,1
20160701,WAS,0.369,0.458,0.184,0.12,CIN,0.305,0.368,0.219,0.097,1
20160702,BOS,0.378,0.417,0.183,0.123,ANA,0.335,0.432,0.143,0.061,0
20160702,HOU,0.392,0.523,0.192,0.122,CHA,0.332,0.51,0.227,0.055,0
20160702,MIN,0.313,0.45,0.232,0.077,TEX,0.339,0.415,0.221,0.091,1
20160702,OAK,0.341,0.477,0.156,0.092,PIT,0.311,0.405,0.218,0.078,0
20160702,SEA,0.315,0.417,0.193,0.076,BAL,0.366,0.538,0.217,0.074,1
20160702,TBA,0.321,0.443,0.236,0.065,DET,0.359,0.462,0.197,0.097,0
20160702,TOR,0.329,0.398,0.224,0.104,CLE,0.324,0.492,0.169,0.051,1
20160702,ARI,0.369,0.457,0.246,0.097,SFN,0.372,0.44,0.149,0.089,1
20160702,ATL,0.315,0.413,0.168,0.058,MIA,0.347,0.4,0.206,0.088,1
20160702,LAN,0.325,0.396,0.179,0.084,COL,0.385,0.516,0.201,0.1,1
20160702,NYN,0.301,0.373,0.215,0.079,CHN,0.335,0.452,0.251,0.115,1
20160702,PHI,0.383,0.528,0.169,0.077,KCA,0.325,0.424,0.17,0.051,0
20160702,SDN,0.356,0.424,0.207,0.117,NYA,0.329,0.4,0.184,0.092,1
20160702,SLN,0.312,0.431,0.212,0.092,MIL,0.313,0.396,0.269,0.078,1
20160702,WAS,0.372,0.457,0.179,0.123,CIN,0.298,0.335,0.227,0.096,0
20160703,BOS,0.382,0.433,0.164,0.127,ANA,0.364,0.496,0.129,0.063,1
20160703,HOU,0.365,0.49,0.208,0.112,CHA,0.35,0.523,0.227,0.062,0
20160703,MIN,0.31,0.454,0.229,0.075,TEX,0.339,0.443,0.216,0.085,1
20160703,OAK,0.348,0.479,0.153,0.09,PIT,0.317,0.392,0.222,0.086,0
20160703,SEA,0.34,0.475,0.186,0.088,BAL,0.366,0.535,0.193,0.067,1
20160703,TBA,0.327,0.45,0.232,0.065,DET,0.345,0.456,0.198,0.1,0
20160703,TOR,0.339,0.425,0.235,0.107,CLE,0.318,0.492,0.184,0.045,1
20160703,ARI,0.38,0.475,0.225,0.094,SFN,0.362,0.443,0.149,0.083,0
20160703,ATL,0.32,0.438,0.178,0.06,MIA,0.344,0.406,0.196,0.082,0
20160703,LAN,0.334,0.395,0.178,0.088,COL,0.369,0.483,0.21,0.098,1
20160703,NYN,0.301,0.368,0.201,0.073,CHN,0.34,0.46,0.262,0.116,1
20160703,PHI,0.375,0.49,0.177,0.076,KCA,0.333,0.45,0.169,0.053,1
20160703,SDN,0.345,0.432,0.222,0.116,NYA,0.32,0.386,0.176,0.091,0
20160703,SLN,0.318,0.427,0.212,0.098,MIL,0.315,0.386,0.261,0.078,1
20160703,WAS,0.359,0.421,0.182,0.129,CIN,0.311,0.341,0.206,0.094,1
20160704,BOS,0.383,0.44,0.168,0.119,TEX,0.342,0.444,0.218,0.086,1
20160704,CHA,0.351,0.494,0.225,0.067,NYA,0.311,0.378,0.173,0.083,1
20160704,CLE,0.306,0.469,0.205,0.041,DET,0.343,0.431,0.209,0.105,1
20160704,HOU,0.348,0.472,0.215,0.104,SEA,0.354,0.512,0.181,0.092,1
20160704,MIN,0.311,0.448,0.23,0.08,OAK,0.347,0.475,0.159,0.088,0
20160704,TBA,0.321,0.429,0.237,0.067,ANA,0.37,0.508,0.114,0.066,1
20160704,TOR,0.368,0.455,0.209,0.121,KCA,0.335,0.444,0.181,0.06,1
